Tissue,Cell Type,Species,Strain,Purpose,Recommended Capsid
Brain,Broad,Mouse,129S1/SvlmJ,Expanded cell type coverage  ,AAV-PHP.AX 
Brain,Broad,Mouse,C57BL/6J,Expanded cell type coverage  ,AAV-PHP.AX 
Brain,Broad,Mouse,DBA/1J,Expanded cell type coverage  ,AAV-PHP.AX 
Brain,Broad,Mouse,DBA/2J,Expanded cell type coverage  ,AAV-PHP.AX 
Brain,Broad,Mouse,FVB/NJ,Expanded cell type coverage  ,AAV-PHP.AX 
Brain,Broad,Mouse,LP/J,Expanded cell type coverage  ,AAV-PHP.AX 
Brain,Broad,Mouse,MOLF/EiJ,Expanded cell type coverage  ,AAV-PHP.AX 
Brain,Astrocytes,Mouse,129S1/SvlmJ,Overall Potency ,AAV-PHP.AX with GRE or transgenic animal
Brain,Neurons -broad,Mouse,129S1/SvlmJ,Expanded cell type coverage  ,AAV-PHP.AX with GRE or transgenic animal
Brain,Astrocytes,Mouse,C57BL/6J,Overall Potency ,AAV-PHP.AX with GRE or transgenic animal
Brain,Neurons -broad,Mouse,C57BL/6J,Expanded cell type coverage  ,AAV-PHP.AX with GRE or transgenic animal
Brain,Astrocytes,Mouse,DBA/1J,Overall Potency ,AAV-PHP.AX with GRE or transgenic animal
Brain,Neurons -broad,Mouse,DBA/1J,Expanded cell type coverage  ,AAV-PHP.AX with GRE or transgenic animal
Brain,Astrocytes,Mouse,DBA/2J,Overall Potency ,AAV-PHP.AX with GRE or transgenic animal
Brain,Neurons -broad,Mouse,DBA/2J,Expanded cell type coverage  ,AAV-PHP.AX with GRE or transgenic animal
Brain,Astrocytes,Mouse,FVB/NJ,Overall Potency ,AAV-PHP.AX with GRE or transgenic animal
Brain,Neurons -broad,Mouse,FVB/NJ,Expanded cell type coverage  ,AAV-PHP.AX with GRE or transgenic animal
Brain,Astrocytes,Mouse,LP/J,Overall Potency ,AAV-PHP.AX with GRE or transgenic animal
Brain,Neurons -broad,Mouse,LP/J,Expanded cell type coverage  ,AAV-PHP.AX with GRE or transgenic animal
Brain,Astrocytes,Mouse,MOLF/EiJ,Overall Potency ,AAV-PHP.AX with GRE or transgenic animal
Brain,Neurons -broad,Mouse,MOLF/EiJ,Expanded cell type coverage  ,AAV-PHP.AX with GRE or transgenic animal
Brain,Broad,Mouse,129S1/SvlmJ,Overall Potency ,AAV-PHP.eB
Brain,Broad,Mouse,C57BL/6J,Overall Potency ,AAV-PHP.eB
Brain,Broad,Mouse,DBA/1J,Overall Potency ,AAV-PHP.eB
Brain,Broad,Mouse,DBA/2J,Overall Potency ,AAV-PHP.eB
Brain,Broad,Mouse,FVB/NJ,Overall Potency ,AAV-PHP.eB
Brain,Broad,Mouse,LP/J,Overall Potency ,AAV-PHP.eB
Brain,Broad,Mouse,MOLF/EiJ,Overall Potency ,AAV-PHP.eB
Brain,Broad,Rat,Shaker,Overall Potency ,AAV-PHP.eB
Brain,Broad,Rat,Sprague Dawley,Overall Potency ,AAV-PHP.eB
Brain,Broad,Rat,Wistar,Overall Potency ,AAV-PHP.eB
Brain,Broad,Rat ,Fischer,Overall Potency ,AAV-PHP.eB
Brain,Broad,Rat ,Long-Evans,Overall Potency ,AAV-PHP.eB
Brain,Astrocytes,Rat,Fischer,Overall Potency ,AAV-PHP.eB with GRE
Brain,Neurons - broad,Rat,Fischer,Overall Potency ,AAV-PHP.eB with GRE
Brain,Astrocytes,Rat,Shaker,Overall Potency ,AAV-PHP.eB with GRE
